date, pm25, pm10, o3, no2, so2
2025/11/1, 8, 8, 14, 1, 
2025/11/2, 13, 8, 19, 5, 
2025/11/3, 23, 6, 18, 3, 
2025/11/4, 11, 3, 21, 1, 
2025/11/5, 15, 12, 18, 2, 
2025/11/6, 45, 11, 15, 3, 
2025/11/7, 42, 15, 18, 3, 
2025/11/8, 41, 16, 19, 2, 
2025/11/9, 45, 4, 18, 2, 
2025/11/10, 13, , , , 
2025/10/1, 23, 20, 21, 7, 
2025/10/2, 26, 13, 20, 5, 
2025/10/3, 25, 10, 17, 2, 
2025/10/4, 24, 12, 16, 1, 
2025/10/5, 25, 7, 15, 2, 
2025/10/6, 20, 12, 14, 3, 
2025/10/7, 26, 11, 24, 2, 
2025/10/8, 24, 6, 19, 3, 
2025/10/9, 11, 6, 22, 2, 
2025/10/10, 9, 6, 26, , 
2025/10/11, 8, 4, 27, , 
2025/10/12, 5, 4, 25, 1, 
2025/10/13, 7, 3, 16, 2, 
2025/10/14, 11, 5, 27, 4, 
2025/10/15, 10, 4, 28, 1, 
2025/10/16, 11, 9, 23, 8, 
2025/10/17, 14, 28, 20, 12, 
2025/10/18, 34, 21, 21, 6, 
2025/10/19, 30, 7, 22, 4, 
2025/10/20, 8, 8, 21, 2, 
2025/10/21, 11, 9, 20, 1, 
2025/10/22, 21, 9, 18, 2, 
2025/10/23, 27, 9, 10, 3, 
2025/10/24, 28, 9, 14, 1, 
2025/10/25, 27, 4, 24, 1, 
2025/10/26, 12, 9, 19, 4, 
2025/10/27, 15, 8, 14, 3, 
2025/10/28, 11, 9, 15, 4, 
2025/10/29, 12, 5, 15, 3, 
2025/10/30, 13, 3, 13, 2, 
2025/10/31, 12, 9, 19, 4, 
2025/7/1, 14, 14, 26, 3, 
2025/7/2, 24, 17, 38, 1, 
2025/7/3, 41, 14, 26, , 
2025/7/4, 13, 7, 24, 1, 
2025/7/5, 14, 5, 30, , 
2025/7/6, 14, 10, 24, 2, 
2025/7/7, 19, 6, 26, 1, 
2025/7/8, 24, 9, 23, 3, 
2025/7/9, 25, 8, 20, 1, 
2025/7/10, 18, 12, 18, , 
2025/7/11, 16, 15, 17, 3, 
2025/7/12, 42, 7, 22, 3, 
2025/7/13, 24, 12, 23, 4, 
2025/7/14, 32, 22, 32, 5, 
2025/7/15, 45, 17, 32, 4, 
2025/7/16, 51, 14, 38, 4, 
2025/7/17, 33, 16, 41, 3, 
2025/7/18, 34, 13, 37, 2, 
2025/7/19, 35, 11, 35, 2, 
2025/7/20, 29, 21, 32, 2, 
2025/7/21, 41, 13, 29, 4, 
2025/7/22, 39, 16, 40, 3, 
2025/7/23, 44, 20, 39, 4, 
2025/7/24, 51, 21, 38, 5, 
2025/7/25, 55, 16, 40, 3, 
2025/7/26, 42, 10, 31, 3, 
2025/7/27, 25, 18, 29, 2, 
2025/7/28, 26, 18, 35, 1, 
2025/7/29, 30, 21, 28, 3, 
2025/7/30, 43, 18, 30, 4, 
2025/7/31, 45, 10, 27, 2, 
2025/8/1, 32, 7, 33, 1, 
2025/8/2, 19, 12, 36, 2, 
2025/8/3, 24, 15, 32, 1, 
2025/8/4, 29, 10, 28, 1, 
2025/8/5, 16, 9, 28, , 
2025/8/6, 16, 9, 25, , 
2025/8/7, 13, 9, 27, 1, 
2025/8/8, 18, 12, 36, 1, 
2025/8/9, 26, 9, 33, , 
2025/8/10, 18, 8, 27, , 
2025/8/11, 12, 7, 28, 1, 
2025/8/12, 10, 6, 27, 1, 
2025/8/13, 7, 13, 33, 5, 
2025/8/14, 26, 21, 33, 4, 
2025/8/15, 25, 7, 30, , 
2025/8/16, 14, 3, 23, , 
2025/8/17, 5, 4, 23, 1, 
2025/8/18, 5, 7, 23, 1, 
2025/8/19, 11, 4, 26, , 
2025/8/20, 6, 6, 22, 2, 
2025/8/21, 6, 7, 25, 2, 
2025/8/22, 6, 5, 24, 2, 
2025/8/23, 14, 5, 22, 2, 
2025/8/24, 12, 3, 19, 2, 
2025/8/25, 13, 4, 22, 1, 
2025/8/26, 11, 8, 21, 2, 
2025/8/27, 11, 6, 21, 4, 
2025/8/28, 11, 12, 20, 3, 
2025/8/29, 21, 11, 19, 1, 
2025/8/30, 36, 5, 25, , 
2025/8/31, 9, 4, 17, 1, 
2025/9/1, 9, , , , 
2025/9/2, 7, 16, 20, 2, 
2025/9/3, 11, 10, 29, 3, 
2025/9/4, 20, 24, 24, 5, 
2025/9/5, 23, 12, 19, 2, 
2025/9/6, 32, 16, 22, 2, 
2025/9/7, 48, 19, 23, 5, 
2025/9/8, 43, 22, 26, 3, 
2025/9/9, 30, 20, 29, 2, 
2025/9/10, 30, 27, 31, 1, 
2025/9/11, 28, 17, 29, 1, 
2025/9/12, 20, 9, 24, 2, 
2025/9/13, 21, 10, 16, 1, 
2025/9/14, 17, 13, 24, 1, 
2025/9/15, 23, 8, 27, 1, 
2025/9/16, 14, 7, 24, 1, 
2025/9/17, 8, 10, 20, 2, 
2025/9/18, 9, 6, 26, 1, 1
2025/9/19, 7, 7, 26, , 
2025/9/20, 14, 11, 39, , 
2025/9/21, 32, 9, 33, , 
2025/9/22, 21, 4, 24, , 
2025/9/23, 4, 5, 26, , 
2025/9/24, 5, 12, 27, 4, 
2025/9/25, 9, 13, 22, 4, 
2025/9/26, 10, 7, 19, 4, 
2025/9/27, 13, 9, 22, 2, 
2025/9/28, 16, 15, 16, 3, 
2025/9/29, 15, 12, 17, 3, 
2025/9/30, 19, 16, 18, 5, 
2025/4/1, 52, 17, 29, 4, 
2025/4/2, 12, 18, 33, 3, 
2025/4/3, 17, 26, 33, 1, 
2025/4/4, 11, 5, 37, , 
2025/4/5, 12, 3, 38, , 
2025/4/6, 11, 9, 35, 4, 
2025/4/7, 15, 7, 36, 1, 
2025/4/8, 15, 9, 34, 3, 
2025/4/9, 11, 9, 33, 3, 
2025/4/10, 11, 6, 33, 2, 
2025/4/11, 11, 12, 33, 4, 
2025/4/12, 15, 13, 33, 6, 
2025/4/13, 20, 19, 37, 2, 
2025/4/14, 25, 18, 32, 5, 
2025/4/15, 44, 21, 39, 1, 
2025/4/16, 18, 9, 26, 4, 
2025/4/17, 18, 15, 31, 4, 
2025/4/18, 28, 39, 20, 10, 
2025/4/19, 60, 7, 17, 2, 
2025/4/20, 22, 10, 17, 4, 
2025/4/21, 28, 6, 22, 4, 
2025/4/22, 13, 14, 18, 5, 
2025/4/23, 21, 6, 32, 1, 
2025/4/24, 15, 10, 33, 4, 
2025/4/25, 15, 6, 36, 1, 
2025/4/26, 9, 10, 33, 3, 
2025/4/27, 8, 13, 39, 1, 
2025/4/28, 13, 7, 32, 1, 
2025/4/29, 12, 8, 28, 5, 
2025/4/30, 13, 9, 31, 7, 
2025/5/1, 16, 13, 39, 1, 
2025/5/2, 14, 7, 34, , 
2025/5/3, 16, 5, 27, 1, 
2025/5/4, 9, 8, 30, 1, 
2025/5/5, 7, 6, 28, 1, 
2025/5/6, 7, 5, 31, 2, 
2025/5/7, 9, 5, 31, 1, 
2025/5/8, 7, 8, 31, 5, 
2025/5/9, 12, 16, 30, 7, 
2025/5/10, 24, 7, 36, 1, 
2025/5/11, 15, 14, 36, 3, 
2025/5/12, 23, 18, 36, 5, 
2025/5/13, 26, 9, 37, 2, 
2025/5/14, 16, 5, 33, 3, 
2025/5/15, 13, 10, 36, 1, 
2025/5/16, 18, 5, 35, 1, 
2025/5/17, 11, 7, 36, 1, 
2025/5/18, 17, 11, 33, 2, 
2025/5/19, 19, 14, 34, 3, 
2025/5/20, 14, 10, 34, 3, 
2025/5/21, 11, 17, 36, 1, 
2025/5/22, 24, 14, 32, 4, 
2025/5/23, 26, 14, 30, 4, 
2025/5/24, 18, 5, 32, 2, 
2025/5/25, 13, 14, 30, 2, 
2025/5/26, 16, 12, 33, 2, 
2025/5/27, 24, 14, 41, 2, 
2025/5/28, 18, 21, 32, 4, 
2025/5/29, 34, 13, 33, 2, 
2025/5/30, 30, 11, 28, , 
2025/5/31, 15, 6, 32, 1, 
2025/6/1, 6, 11, 30, 2, 
2025/6/2, 16, 12, 32, , 
2025/6/3, 23, 14, 37, 1, 
2025/6/4, 19, 14, 36, 2, 
2025/6/5, 27, 11, 31, 2, 
2025/6/6, 27, 12, 37, , 
2025/6/7, 18, 9, 31, 1, 
2025/6/8, 14, 11, 25, 5, 
2025/6/9, 22, 9, 29, 2, 
2025/6/10, 43, 11, 25, 2, 
2025/6/11, 36, 11, 28, 2, 
2025/6/12, 44, 10, 24, 3, 
2025/6/13, 27, 11, 29, 3, 
2025/6/14, 17, 7, 39, 1, 
2025/6/15, 8, 14, 46, 2, 
2025/6/16, 22, 12, 31, 1, 
2025/6/17, 37, 12, 30, , 
2025/6/18, 23, 7, 27, 1, 
2025/6/19, 12, 7, 28, 1, 
2025/6/20, 15, 7, 30, , 
2025/6/21, 9, 5, 25, , 
2025/6/22, 11, 9, 23, 1, 
2025/6/23, 21, 7, 24, , 
2025/6/24, 23, 7, 22, , 
2025/6/25, 19, 7, 27, , 
2025/6/26, 14, 8, 23, 2, 
2025/6/27, 18, 5, 23, 2, 
2025/6/28, 23, 8, 29, , 
2025/6/29, 18, 8, 25, 1, 
2025/6/30, 12, 9, 26, , 
2025/1/1, 21, 3, 29, 3, 
2025/1/2, 16, 5, 29, 8, 
2025/1/3, 9, 9, 26, 8, 
2025/1/4, 23, 6, 27, 6, 
2025/1/5, 16, 6, 22, 5, 
2025/1/6, 11, 11, 16, 8, 
2025/1/7, 28, 10, 25, 6, 
2025/1/8, 28, 5, 23, 4, 
2025/1/9, 7, 8, 19, 4, 
2025/1/10, 21, 2, 20, 2, 
2025/1/11, 11, 3, 32, 3, 
2025/1/12, 13, 4, 32, 4, 
2025/1/13, 9, 4, 28, 1, 
2025/1/14, 11, 3, 27, 4, 
2025/1/15, 10, 5, 28, 2, 
2025/1/16, 12, 4, 23, 2, 
2025/1/17, 12, 7, 33, 1, 
2025/1/18, 17, 5, 25, 1, 
2025/1/19, 11, 6, 26, 6, 
2025/1/20, 5, 12, 25, 3, 
2025/1/21, 10, 8, 23, 4, 
2025/1/22, 28, 7, 18, 3, 
2025/1/23, 19, 8, 22, 3, 
2025/1/24, 29, 9, 22, , 
2025/1/25, 25, 8, 26, , 
2025/1/26, 23, 7, 24, 6, 
2025/1/27, 15, 12, 18, 6, 
2025/1/28, 32, 14, 26, 4, 
2025/1/29, 51, 5, 26, 1, 
2025/1/30, 16, 6, 23, 3, 
2025/1/31, 9, 3, 21, 7, 
2025/2/1, 8, 2, 26, 3, 
2025/2/2, 7, 4, 21, 4, 
2025/2/3, 11, 9, 19, 4, 
2025/2/4, 25, 9, 20, 3, 
2025/2/5, 30, 8, 19, 4, 
2025/2/6, 40, 20, 18, 4, 
2025/2/7, 30, 14, 27, 2, 
2025/2/8, 31, 23, 21, 4, 
2025/2/9, 50, 28, 22, 8, 
2025/2/10, 55, 20, 16, 6, 
2025/2/11, 34, 14, 21, 3, 
2025/2/12, 38, 12, 30, 3, 
2025/2/13, 38, 5, 29, 3, 
2025/2/14, 47, 4, 32, 3, 
2025/2/15, 7, 5, 28, 3, 
2025/2/16, 7, 6, 25, 6, 
2025/2/17, 14, 10, 29, 9, 
2025/2/18, 35, 9, 29, 11, 
2025/2/19, 14, 20, 22, 15, 
2025/2/20, 41, 10, 30, 3, 
2025/2/21, 18, 19, 29, 2, 
2025/2/22, 53, 30, 27, 3, 
2025/2/23, 58, 34, 29, 5, 
2025/2/24, 80, 45, 30, 6, 
2025/2/25, 86, 33, 27, 7, 
2025/2/26, 90, 11, 14, 6, 
2025/2/27, 38, 15, 20, 6, 
2025/2/28, 54, 7, 26, 3, 
2025/3/1, 23, 6, 30, 1, 
2025/3/2, 13, 10, 31, 1, 
2025/3/3, 13, 11, 34, , 
2025/3/4, 16, 8, 32, , 
2025/3/5, 17, 15, 30, , 
2025/3/6, 21, 24, 30, 8, 
2025/3/7, 27, 24, 34, 2, 
2025/3/8, 50, 13, 28, 5, 
2025/3/9, 20, 28, 30, 5, 
2025/3/10, 30, 19, 33, 4, 
2025/3/11, 39, 9, 32, 2, 
2025/3/12, 19, 9, 26, 6, 
2025/3/13, 37, 13, 34, 2, 
2025/3/14, 19, 12, 35, , 
2025/3/15, 10, 5, 33, , 
2025/3/16, 10, 11, 34, 2, 
2025/3/17, 8, 11, 34, 1, 
2025/3/18, 9, 14, 36, 1, 
2025/3/19, 8, 20, 28, 2, 
2025/3/20, 18, 12, 31, 3, 
2025/3/21, 27, 12, 35, 2, 
2025/3/22, 18, 16, 36, 2, 
2025/3/23, 20, 21, 33, 3, 
2025/3/24, 33, 21, 28, 3, 
2025/3/25, 58, 19, 26, 7, 
2025/3/26, 38, 35, 33, 7, 
2025/3/27, 28, 22, 35, 3, 
2025/3/28, 23, 18, 38, 2, 
2025/3/29, 38, 16, 30, 6, 
2025/3/30, 43, 20, 22, 7, 
2025/3/31, 41, 30, 27, 9, 
2024/10/1, 7, 4, 18, 6, 
2024/10/2, 14, 1, 25, , 
2024/10/3, 7, 4, 25, 3, 
2024/10/4, 13, 13, 18, 8, 
2024/10/5, 23, 11, 19, 4, 
2024/10/6, 16, 6, 26, 6, 
2024/10/7, 14, 8, 17, 5, 
2024/10/8, 13, 2, 15, 2, 
2024/10/9, 6, 3, 20, 2, 
2024/10/10, 11, 7, 29, 1, 
2024/10/11, 15, 2, 27, 3, 
2024/10/12, 9, 5, 24, 3, 
2024/10/13, 10, 10, 13, 8, 
2024/10/14, 17, 2, 25, 2, 
2024/10/15, 6, 9, 24, 6, 
2024/10/16, 7, 4, 21, 2, 
2024/10/17, 7, 7, 21, 4, 
2024/10/18, 16, 6, 23, 2, 
2024/10/19, 13, 7, 23, 1, 
2024/10/20, 23, 9, 22, 2, 
2024/10/21, 33, 11, 25, 1, 
2024/10/22, 26, 5, 29, 1, 
2024/10/23, 10, 7, 28, 2, 
2024/10/24, 12, 8, 30, 2, 
2024/10/25, 11, 11, 25, 3, 
2024/10/26, 29, 12, 19, 2, 
2024/10/27, 35, 5, 27, 2, 
2024/10/28, 15, 6, 27, 3, 
2024/10/29, 8, 3, 30, 1, 
2024/10/30, 4, 7, 18, 7, 
2024/10/31, 7, 2, 32, 4, 
2024/11/1, 6, 1, 29, , 
2024/11/2, 5, 1, 30, 1, 
2024/11/3, 4, 2, 29, 3, 
2024/11/4, 6, 3, 22, 3, 
2024/11/5, 10, 2, 20, 2, 
2024/11/6, 6, 4, 15, 4, 
2024/11/7, 11, 2, 15, 2, 
2024/11/8, 10, , , , 
2024/11/9, 8, , , , 
2024/11/10, 9, 10, 8, 5, 
2024/11/11, 7, 2, 16, 3, 
2024/11/12, 9, 6, 21, 2, 
2024/11/13, 5, 7, 32, 1, 
2024/11/14, 18, 10, 31, 2, 
2024/11/15, 18, 7, 33, , 
2024/11/16, 10, 3, 30, 1, 
2024/11/17, 8, 8, 30, 3, 
2024/11/18, 13, 5, 20, 8, 
2024/11/19, 11, 1, 20, 3, 
2024/11/20, 11, 1, 20, 2, 
2024/11/21, 6, 2, 22, 3, 
2024/11/22, 5, 1, 25, 2, 
2024/11/23, 7, 5, 23, 3, 
2024/11/24, 11, 8, 19, 2, 
2024/11/25, 37, 11, 19, 4, 
2024/11/26, 38, 8, 19, 6, 
2024/11/27, 16, 5, 18, 5, 
2024/11/28, 13, 1, 26, 4, 
2024/11/29, 8, 2, 23, 1, 
2024/11/30, 8, 5, 23, 1, 
2024/12/1, 16, 13, 22, 2, 
2024/12/2, 36, 6, 23, 4, 
2024/12/3, 23, 9, 24, 9, 
2024/12/4, 16, 13, 20, 3, 
2024/12/5, 13, 5, 13, 2, 
2024/12/6, 16, 3, 10, 4, 
2024/12/7, 20, 5, 15, 3, 
2024/12/8, 23, 9, 18, 8, 
2024/12/9, 30, 2, 17, 3, 
2024/12/10, 15, 2, 30, 1, 
2024/12/11, 12, 4, 31, 3, 
2024/12/12, 12, 11, 27, 5, 
2024/12/13, 15, 1, 23, 2, 
2024/12/14, 8, 1, 20, 2, 
2024/12/15, 14, 3, 32, 1, 
2024/12/16, 11, 2, 29, 1, 
2024/12/17, 9, 10, 21, 10, 
2024/12/18, 12, 3, 22, 3, 
2024/12/19, 15, 3, 29, 2, 
2024/12/20, 19, 3, 29, 1, 
2024/12/21, 7, 2, 21, 1, 
2024/12/22, 8, 5, 21, 4, 
2024/12/23, 13, 3, 14, 4, 
2024/12/24, 14, 2, 22, 1, 
2024/12/25, 9, 1, 25, , 
2024/12/26, 5, 1, 22, 3, 
2024/12/27, 6, 2, 22, 2, 
2024/12/28, 6, 1, 19, , 
2024/12/29, 5, , , , 
2024/7/1, 26, 10, 31, , 
2024/7/2, 12, 7, 25, 3, 
2024/7/3, 11, 10, 28, , 
2024/7/4, 7, 8, 19, 1, 
2024/7/5, 7, 8, 29, , 
2024/7/6, 7, 10, 34, , 
2024/7/7, 17, 10, 30, 1, 
2024/7/8, 8, 13, 35, 1, 
2024/7/9, 8, 8, 31, 3, 
2024/7/10, 76, 14, 26, 2, 
2024/7/11, 36, 10, 30, 2, 
2024/7/12, 11, 9, 26, 2, 
2024/7/13, 13, 9, 29, 1, 
2024/7/14, 16, 9, 38, 1, 
2024/7/15, 78, 12, 36, 2, 
2024/7/16, 11, 13, 42, 1, 
2024/7/17, 13, 10, 32, 1, 
2024/7/18, 11, 21, 26, 1, 
2024/7/19, 5, 6, 26, 1, 
2024/7/20, 5, 7, 22, 1, 
2024/7/21, 14, 12, 31, 1, 
2024/7/22, 27, 14, 26, 3, 
